"skills","avg_salary"
"ringcentral","182500"
"mongo","171361"
"lua","170500"
"solidity","168300"
"objective-c","164500"
"node","161450"
"dplyr","160667"
"watson","155779"
"cassandra","155068"
"hugging face","152537"
"codecommit","152289"
"rshiny","151611"
"theano","151556"
"mxnet","150619"
"pytorch","148333"
"airtable","147677"
"gatsby","147500"
"neo4j","147313"
"kafka","145793"
"scala","145678"
"tensorflow","145100"
"mlr","145000"
"shell","144671"
"couchdb","144167"
"vue","143597"
"airflow","142527"
"spark","142458"
"scikit-learn","141762"
"heroku","141667"
"redshift","141534"
"elixir","141338"
"golang","141307"
"atlassian","140845"
"redis","140816"
"rust","140776"
"kubernetes","140543"
"keras","140206"
"dynamodb","139547"
"ubuntu","139408"
"ruby on rails","138958"
"hadoop","138875"
"fastapi","138521"
"snowflake","138425"
"pandas","138200"
"nosql","138146"
"opencv","138128"
"mysql","137647"
"numpy","137591"
"java","137494"
"aws","137478"
"openstack","137455"
"datarobot","137277"
"seaborn","136849"
"perl","136726"
"clojure","136611"
"splunk","136454"
"asana","136276"
"c","136185"
"kotlin","136039"
"terraform","135817"
"pyspark","135789"
"vmware","135724"
"c++","135393"
"no-sql","135332"
"jupyter","134798"
"docker","134630"
"bigquery","134292"
"notion","134271"
"nltk","134263"
"next.js","134000"
"gitlab","133649"
"elasticsearch","133541"
"python","133137"
"gcp","132880"
"matplotlib","132875"
"gdpr","132845"
"zoom","132592"
"express","132442"
"flask","132432"
"arch","132376"
"svn","132339"
"centos","131949"
"databricks","131786"
"go","131783"
"plotly","131775"
"azure","131486"
"linux","131148"
"ruby","131111"
"angular","131079"
"mongodb","130984"
"graphql","130927"
"aurora","130803"
"bitbucket","130124"
"jenkins","130124"
"unity","130097"
"django","129845"
"typescript","129574"
"looker","129409"
"git","129388"
"couchbase","129216"
"tidyverse","129103"
"julia","128034"
"ibm cloud","127989"
"r","127585"
"pulumi","127209"
"redhat","127200"
"haskell","127137"
"postgresql","127086"
"angular.js","127050"
"ggplot2","126630"
"ansible","126454"
"php","126400"
"bash","126241"
"twilio","126210"
"node.js","126135"
"github","126086"
"sql","125844"
"puppet","125746"
"jira","125651"
"confluence","125365"
"suse","125000"
"sqlite","124976"
"slack","123952"
"c#","123406"
"matlab","123190"
"unreal","123130"
"groovy","122855"
"unix","122734"
"react","122423"
"swift","122005"
"spring","122004"
"selenium","121929"
"chef","121864"
"flow","121835"
"unify","121606"
"phoenix","121389"
"microstrategy","121329"
"xamarin","121250"
"mariadb","121181"
"erlang","120900"
"db2","120327"
"cordova","117921"
"tableau","117769"
"powershell","117357"
"qlik","116786"
"oracle","116205"
"javascript","115492"
"css","115415"
"sass","114650"
"t-sql","113815"
"jquery","113769"
"alteryx","113616"
"dax","113508"
"sql server","113478"
"yarn","113390"
"sas","113331"
"ssis","113175"
"assembly","112927"
"electron","112638"
"windows","112624"
"asp.net","112568"
"lisp","112432"
"terminal","112231"
"vue.js","111370"
"react.js","110729"
"html","110707"
"sap","110583"
"qt","110000"
"firebase","108436"
"fortran","108321"
"power bi","107897"
"cobol","106497"
"macos","105771"
"visio","105518"
"dart","105373"
"drupal","105234"
"clickup","105000"
"ssrs","104198"
"spss","103193"
"vba","102299"
"wire","102166"
"cognos","102039"
"npm","100611"
"excel","100124"
"crystal","100103"
"powerpoint","100083"
"chainer","100000"
"word","99567"
"visual basic","98658"
"symphony","98400"
"sharepoint","98047"
"homebrew","96773"
"trello","95343"
"svelte","94575"
"sheets","94144"
"flutter","94060"
"microsoft teams","93559"
"outlook","93390"
"spreadsheet","93305"
"colocation","92943"
"ms access","92432"
"pascal","92000"
"workfront","90410"
"apl","90000"
"kali","89100"
"webex","88750"
"laravel","88667"
"vb.net","86995"
"planner","86500"
"blazor","83750"
"smartsheet","81667"
"firestore","80019"
"monday.com","79005"
"wrike","75000"
"digitalocean","75000"
